,state,regional_devision,population,article_title,revision_id,article_quality
0,Alabama,South (East South Central),5024356.0,"Abbeville, Alabama",1171163550,C
1,Alabama,South (East South Central),5024356.0,"Adamsville, Alabama",1177621427,C
2,Alabama,South (East South Central),5024356.0,"Addison, Alabama",1168359898,C
3,Alabama,South (East South Central),5024356.0,"Akron, Alabama",1165909508,GA
4,Alabama,South (East South Central),5024356.0,"Alabaster, Alabama",1179139816,C
5,Alabama,South (East South Central),5024356.0,"Albertville, Alabama",1179198677,C
6,Alabama,South (East South Central),5024356.0,"Alexander City, Alabama",1179140073,GA
7,Alabama,South (East South Central),5024356.0,"Aliceville, Alabama",1167792390,GA
8,Alabama,South (East South Central),5024356.0,"Allgood, Alabama",1165909718,C
9,Alabama,South (East South Central),5024356.0,"Altoona, Alabama",1165909823,C
10,Alabama,South (East South Central),5024356.0,"Andalusia, Alabama",1179141586,C
11,Alabama,South (East South Central),5024356.0,"Anderson, Lauderdale County, Alabama",662691565,Stub
12,Alabama,South (East South Central),5024356.0,"Anniston, Alabama",1176049382,C
13,Alabama,South (East South Central),5024356.0,"Arab, Alabama",1171375371,C
14,Alabama,South (East South Central),5024356.0,"Ardmore, Alabama",1176903479,GA
15,Alabama,South (East South Central),5024356.0,"Argo, Alabama",1177623964,C
16,Alabama,South (East South Central),5024356.0,"Ariton, Alabama",1166014478,C
17,Alabama,South (East South Central),5024356.0,"Arley, Alabama",1166014498,C
18,Alabama,South (East South Central),5024356.0,"Ashford, Alabama",1166014593,C
19,Alabama,South (East South Central),5024356.0,"Ashland, Alabama",1174331705,C
20,Alabama,South (East South Central),5024356.0,"Ashville, Alabama",1148844011,C
21,Alabama,South (East South Central),5024356.0,"Athens, Alabama",1175308807,C
22,Alabama,South (East South Central),5024356.0,"Atmore, Alabama",1167926420,C
23,Alabama,South (East South Central),5024356.0,"Attalla, Alabama",1165507856,C
24,Alabama,South (East South Central),5024356.0,"Auburn, Alabama",1179878794,C
25,Alabama,South (East South Central),5024356.0,"Autaugaville, Alabama",1166014815,C
26,Alabama,South (East South Central),5024356.0,"Avon, Alabama",1166014861,Start
27,Alabama,South (East South Central),5024356.0,"Babbie, Alabama",1168820544,Start
28,Alabama,South (East South Central),5024356.0,"Baileyton, Alabama",1166014939,C
29,Alabama,South (East South Central),5024356.0,"Bakerhill, Alabama",1166014954,Start
30,Alabama,South (East South Central),5024356.0,"Banks, Alabama",1166014997,C
31,Alabama,South (East South Central),5024356.0,"Bay Minette, Alabama",1177963600,C
32,Alabama,South (East South Central),5024356.0,"Bayou La Batre, Alabama",1177999052,C
33,Alabama,South (East South Central),5024356.0,"Bear Creek, Alabama",1166015184,GA
34,Alabama,South (East South Central),5024356.0,"Beatrice, Alabama",1166015214,C
35,Alabama,South (East South Central),5024356.0,"Beaverton, Alabama",1166015251,Start
36,Alabama,South (East South Central),5024356.0,"Belk, Alabama",1166015313,C
37,Alabama,South (East South Central),5024356.0,"Benton, Alabama",1166015434,C
38,Alabama,South (East South Central),5024356.0,"Berlin, Alabama",1166015476,Start
39,Alabama,South (East South Central),5024356.0,"Berry, Alabama",1166015515,C
40,Alabama,South (East South Central),5024356.0,"Bessemer, Alabama",1178999596,C
41,Alabama,South (East South Central),5024356.0,"Billingsley, Alabama",1166015695,Start
42,Alabama,South (East South Central),5024356.0,"Birmingham, Alabama",1179944837,B
43,Alabama,South (East South Central),5024356.0,"Black, Alabama",1166015772,Start
44,Alabama,South (East South Central),5024356.0,"Blountsville, Alabama",1105978061,GA
45,Alabama,South (East South Central),5024356.0,"Blue Springs, Alabama",1166015902,Start
46,Alabama,South (East South Central),5024356.0,"Boaz, Alabama",1177138566,GA
47,Alabama,South (East South Central),5024356.0,"Boligee, Alabama",1166015957,C
48,Alabama,South (East South Central),5024356.0,"Bon Air, Alabama",1166015981,C
49,Alabama,South (East South Central),5024356.0,"Brantley, Alabama",1165814013,C
50,Alabama,South (East South Central),5024356.0,"Brent, Alabama",1172245542,GA
51,Alabama,South (East South Central),5024356.0,"Brewton, Alabama",1162427481,GA
52,Alabama,South (East South Central),5024356.0,"Bridgeport, Alabama",1165537046,GA
53,Alabama,South (East South Central),5024356.0,"Brighton, Alabama",1177621572,C
54,Alabama,South (East South Central),5024356.0,"Brilliant, Alabama",1166016323,GA
55,Alabama,South (East South Central),5024356.0,"Brookside, Alabama",1170769013,C
56,Alabama,South (East South Central),5024356.0,"Brookwood, Alabama",1178216914,C
57,Alabama,South (East South Central),5024356.0,"Brundidge, Alabama",1165537457,C
58,Alabama,South (East South Central),5024356.0,"Butler, Alabama",1144752979,C
59,Alabama,South (East South Central),5024356.0,"Calera, Alabama",1165537934,C
60,Alabama,South (East South Central),5024356.0,"Camden, Alabama",1176316224,GA
61,Alabama,South (East South Central),5024356.0,"Camp Hill, Alabama",1166017104,C
62,Alabama,South (East South Central),5024356.0,"Carbon Hill, Alabama",1175376595,C
63,Alabama,South (East South Central),5024356.0,"Cardiff, Alabama",1166017260,Start
64,Alabama,South (East South Central),5024356.0,"Carolina, Alabama",1166017310,Start
65,Alabama,South (East South Central),5024356.0,"Carrollton, Alabama",1096812581,C
66,Alabama,South (East South Central),5024356.0,"Castleberry, Alabama",1166017442,Start
67,Alabama,South (East South Central),5024356.0,"Cedar Bluff, Alabama",1177836881,C
68,Alabama,South (East South Central),5024356.0,"Center Point, Alabama",1174837569,C
69,Alabama,South (East South Central),5024356.0,"Centre, Alabama",1164314017,C
70,Alabama,South (East South Central),5024356.0,"Centreville, Alabama",1172134285,C
71,Alabama,South (East South Central),5024356.0,"Chatom, Alabama",1159488446,C
72,Alabama,South (East South Central),5024356.0,"Chelsea, Alabama",1165539092,C
73,Alabama,South (East South Central),5024356.0,"Cherokee, Alabama",1166017755,C
74,Alabama,South (East South Central),5024356.0,"Chickasaw, Alabama",1165539195,C
75,Alabama,South (East South Central),5024356.0,"Childersburg, Alabama",1165539227,GA
76,Alabama,South (East South Central),5024356.0,"Citronelle, Alabama",1165539457,C
77,Alabama,South (East South Central),5024356.0,"Clanton, Alabama",1158612343,GA
78,Alabama,South (East South Central),5024356.0,"Clay, Alabama",1177621993,C
79,Alabama,South (East South Central),5024356.0,"Clayhatchee, Alabama",1166018079,Start
80,Alabama,South (East South Central),5024356.0,"Clayton, Alabama",1155236230,C
81,Alabama,South (East South Central),5024356.0,"Cleveland, Alabama",1168466910,C
82,Alabama,South (East South Central),5024356.0,"Clio, Alabama",1165644511,Start
83,Alabama,South (East South Central),5024356.0,"Coaling, Alabama",1166018304,C
84,Alabama,South (East South Central),5024356.0,"Coffee Springs, Alabama",1166018326,Start
85,Alabama,South (East South Central),5024356.0,"Coffeeville, Alabama",1166029689,C
86,Alabama,South (East South Central),5024356.0,"Coker, Alabama",1166018360,Start
87,Alabama,South (East South Central),5024356.0,"Collinsville, Alabama",1177947751,C
88,Alabama,South (East South Central),5024356.0,"Colony, Alabama",1166018463,GA
89,Alabama,South (East South Central),5024356.0,"Columbia, Alabama",1166018475,C
90,Alabama,South (East South Central),5024356.0,"Columbiana, Alabama",1151357569,C
91,Alabama,South (East South Central),5024356.0,"Coosada, Alabama",1172561590,C
92,Alabama,South (East South Central),5024356.0,"Cordova, Alabama",1165645181,GA
93,Alabama,South (East South Central),5024356.0,"Cottonwood, Alabama",1096812941,C
94,Alabama,South (East South Central),5024356.0,"County Line, Alabama",1166018950,Start
95,Alabama,South (East South Central),5024356.0,"Courtland, Alabama",1157580326,GA
96,Alabama,South (East South Central),5024356.0,"Cowarts, Alabama",1166019003,C
97,Alabama,South (East South Central),5024356.0,"Creola, Alabama",1139764613,GA
98,Alabama,South (East South Central),5024356.0,"Crossville, Alabama",1166066155,C
99,Alabama,South (East South Central),5024356.0,"Cuba, Alabama",1175879685,C
100,Alabama,South (East South Central),5024356.0,"Cullman, Alabama",1180017307,B
101,Alabama,South (East South Central),5024356.0,"Cusseta, Alabama",1172824345,Start
102,Alabama,South (East South Central),5024356.0,"Dadeville, Alabama",1158607851,C
103,Alabama,South (East South Central),5024356.0,"Daleville, Alabama",1154496305,GA
104,Alabama,South (East South Central),5024356.0,"Daphne, Alabama",1165646156,FA
105,Alabama,South (East South Central),5024356.0,"Dauphin Island, Alabama",1174226588,B
106,Alabama,South (East South Central),5024356.0,"Daviston, Alabama",1166066473,C
107,Alabama,South (East South Central),5024356.0,"Dayton, Alabama",1166066487,C
108,Alabama,South (East South Central),5024356.0,"Deatsville, Alabama",1166066515,C
109,Alabama,South (East South Central),5024356.0,"Decatur, Alabama",1178063438,C
110,Alabama,South (East South Central),5024356.0,"Demopolis, Alabama",1161394946,B
111,Alabama,South (East South Central),5024356.0,"Detroit, Alabama",1166066756,Start
112,Alabama,South (East South Central),5024356.0,"Dodge City, Alabama",1166066982,Start
113,Alabama,South (East South Central),5024356.0,"Dora, Alabama",1165647022,C
114,Alabama,South (East South Central),5024356.0,"Dothan, Alabama",1179231968,B
115,Alabama,South (East South Central),5024356.0,"Double Springs, Alabama",1159024876,C
116,Alabama,South (East South Central),5024356.0,"Douglas, Alabama",1166067023,GA
117,Alabama,South (East South Central),5024356.0,"Dozier, Alabama",1096813187,Start
118,Alabama,South (East South Central),5024356.0,"Dutton, Alabama",1166067175,C
119,Alabama,South (East South Central),5024356.0,"East Brewton, Alabama",1165647609,C
120,Alabama,South (East South Central),5024356.0,"Eclectic, Alabama",1145048302,C
121,Alabama,South (East South Central),5024356.0,"Edwardsville, Alabama",1166067508,C
122,Alabama,South (East South Central),5024356.0,"Elba, Alabama",1163400900,C
123,Alabama,South (East South Central),5024356.0,"Elberta, Alabama",1175895043,C
